50000
72	18	88	99	63
3	70	8	5	61
71	31	42	77	60
61	2	29	21	7
23	68	52	41	72
28	59	68	21	14
19	27	90	75	96
85	70	35	76	53
26	29	59	29	76
73	63	50	61	35
30	59	6	10	53
84	29	35	73	37
92	66	93	65	65
53	61	87	76	43
69	11	5	72	49
27	41	15	47	22
28	78	47	21	81
51	23	59	74	66
92	57	90	18	40
40	28	22	69	91
19	68	63	94	77
71	74	37	97	90
7	82	22	49	50
66	33	56	23	46
66	37	23	43	70
34	45	53	66	13
53	47	45	65	63
4	22	79	28	51
5	3	69	57	71
77	58	38	85	80
53	43	8	95	53
89	85	12	42	14
47	32	11	27	51
10	62	17	74	58
57	34	8	41	82
27	32	86	41	46
71	67	89	44	90
92	12	3	84	95
25	91	100	21	23
40	55	98	22	68
17	47	23	67	73
13	78	42	52	58
21	24	36	30	70
42	70	18	3	72
22	60	30	13	10
63	58	44	47	9
81	57	77	71	37
11	51	93	35	31
39	33	21	77	63
69	11	87	38	33
20	98	63	12	13
57	46	87	5	80
52	21	96	62	79
80	8	15	40	40
95	42	86	14	3
31	38	92	24	84
49	83	1	95	41
56	80	30	7	44
100	2	56	19	34
53	84	59	6	30
82	82	13	50	97
87	4	86	9	86
6	67	49	97	23
17	97	83	87	75
55	35	46	27	45
5	26	45	22	94
57	73	80	63	31
87	97	84	77	52
65	56	25	27	58
57	20	92	45	98
36	79	39	96	76
90	19	2	16	81
79	99	18	72	14
95	53	36	93	22
27	77	50	62	44
66	84	65	23	3
40	95	45	36	93
75	88	56	56	15
33	88	3	96	28
38	75	90	82	24
31	21	55	2	97
82	83	47	80	1
80	77	6	93	27
33	11	55	56	15
62	44	84	97	40
34	97	30	32	39
60	24	28	17	12
26	19	100	86	32
42	71	27	96	94
65	70	79	69	69
72	17	69	87	81
46	74	26	83	7
63	31	95	68	67
89	30	68	33	64
15	37	22	71	53
8	41	34	33	59
70	44	100	55	54
60	88	60	50	42
46	86	65	39	17
25	9	11	62	69
94	54	7	95	20
35	90	94	1	70
23	8	68	34	78
82	82	6	95	31
2	28	95	12	56
10	92	15	20	34
57	94	49	63	53
12	24	48	87	31
18	37	21	69	11
30	63	54	24	94
63	73	52	24	56
25	88	48	14	63
33	9	66	7	85
60	6	86	39	22
45	78	86	34	38
30	77	91	22	48
58	76	92	68	41
63	32	17	89	80
70	100	54	32	76
42	51	29	14	9
15	11	36	52	60
83	22	81	69	85
61	19	90	98	56
22	95	61	3	91
91	99	52	59	60
10	57	62	24	68
45	10	81	5	99
77	42	62	45	38
69	34	6	11	18
99	22	71	65	100
47	90	15	67	19
60	99	12	82	94
15	87	79	26	54
23	13	14	7	88
74	66	96	51	12
90	20	57	67	50
24	87	38	38	9
55	40	42	54	56
4	60	27	66	19
91	26	32	57	32
24	47	52	23	14
24	9	30	35	87
75	27	8	6	46
97	66	90	23	91
10	36	96	85	27
55	30	38	19	83
69	72	31	85	61
56	90	41	98	73
49	16	27	69	72
29	58	100	60	75
22	81	77	59	14
99	100	70	70	98
64	36	100	27	34
17	61	98	3	69
77	92	77	56	38
73	98	100	90	10
18	9	13	69	56
6	70	45	5	92
89	63	27	60	66
31	26	10	61	16
43	33	52	3	40
2	12	93	87	50
15	15	83	45	37
62	76	9	42	60
47	27	77	10	45
52	11	68	34	53
72	26	64	83	45
48	23	37	75	57
76	98	64	16	72
81	13	3	92	36
86	39	74	90	57
21	9	47	92	47
20	87	70	68	86
81	2	70	21	88
33	51	99	21	9
49	58	82	70	40
92	20	7	18	19
37	29	54	21	21
76	18	61	76	16
72	94	81	65	82
69	91	6	61	69
96	96	70	71	1
62	19	32	94	3
23	36	35	8	91
56	38	80	50	56
45	48	3	45	71
46	40	52	75	20
33	95	30	55	52
71	2	41	13	26
31	13	92	62	97
25	94	78	6	34
99	21	67	53	93
6	19	44	22	90
7	88	92	65	45
58	36	1	94	45
13	4	1	13	23
87	1	4	93	26
65	61	20	44	61
25	21	70	12	86
80	2	76	22	95
59	82	66	9	86
79	38	38	36	66
38	28	63	37	36
41	57	9	35	24
41	9	11	47	42
76	86	85	76	26
5	100	42	84	31
28	29	77	65	29
70	30	10	8	68
100	68	98	69	91
93	6	86	100	98
84	73	11	24	24
51	64	8	23	19
4	70	15	80	61
79	57	7	36	95
3	54	62	27	32
93	35	95	62	92
18	86	59	11	40
93	88	82	44	90
86	3	59	81	51
62	86	25	48	80
12	8	83	9	65
17	11	76	82	13
62	56	3	75	1
90	96	6	23	17
24	53	74	62	75
6	49	78	12	52
58	45	40	36	96
22	48	94	34	28
96	6	15	80	5
72	2	92	55	14
39	31	51	71	39
15	12	16	9	57
48	39	41	95	31
59	34	77	94	59
9	18	91	66	65
48	44	92	41	47
53	16	86	100	98
34	38	79	81	29
44	69	21	79	12
52	54	63	42	79
11	84	33	77	79
64	40	22	5	84
77	41	90	40	31
23	36	15	15	45
38	14	60	58	33
42	5	17	98	58
40	1	95	33	60
33	28	77	28	99
22	50	47	56	64
100	80	85	25	3
10	11	68	31	96
78	20	76	97	77
53	53	1	51	98
11	51	52	43	39
86	61	99	58	42
65	93	20	54	35
87	52	67	63	19
89	1	59	10	3
52	36	87	9	8
70	28	49	6	67
59	70	7	50	40
12	68	35	18	38
6	53	42	44	77
71	4	92	56	55
43	1	20	91	52
37	96	95	54	16
43	69	51	5	47
91	51	65	92	30
33	90	69	7	73
79	9	83	90	89
36	100	45	33	34
43	22	3	94	88
36	44	84	69	27
48	62	10	83	58
80	45	58	35	12
5	100	37	99	50
96	63	74	5	73
33	52	24	85	96
56	79	65	17	41
76	36	25	57	94
50	12	97	40	95
14	36	30	94	5
24	49	61	56	54
80	62	19	8	15
48	4	94	28	91
45	8	37	21	13
58	68	53	61	53
51	18	28	49	20
75	49	5	95	4
31	63	42	80	24
45	51	92	95	6
50	20	45	58	98
83	79	42	50	17
86	7	48	77	76
74	6	30	36	25
75	26	3	9	17
35	17	13	58	66
71	50	90	93	34
18	2	36	18	46
36	63	99	10	54
61	47	11	90	10
24	98	51	26	95
79	76	9	1	47
93	31	40	24	71
43	99	9	28	38
80	39	10	20	71
93	67	86	70	55
17	19	63	82	53
28	59	83	15	14
34	16	99	6	99
54	68	77	4	22
16	8	22	65	87
11	34	100	95	57
74	79	90	48	69
2	11	30	26	62
11	4	26	87	14
1	4	81	46	70
48	88	45	7	20
68	80	31	94	38
54	29	98	72	89
8	87	33	7	93
67	99	12	76	34
6	25	86	81	60
60	95	30	20	67
86	96	27	76	97
69	32	38	43	54
30	83	71	15	78
90	64	45	60	2
71	42	32	53	91
49	96	87	45	3
76	63	5	97	14
97	34	86	49	54
18	11	7	25	59
8	13	10	17	72
16	8	13	54	100
40	66	83	97	65
8	6	9	12	51
21	45	69	90	61
51	89	28	85	75
4	29	63	92	58
64	26	65	98	77
91	26	93	99	50
40	12	89	87	68
34	25	7	45	100
74	15	15	36	2
84	52	45	71	11
19	32	25	13	80
64	31	41	11	21
41	98	66	66	67
26	27	33	86	25
15	67	37	50	24
37	61	68	44	60
14	37	92	98	55
15	36	74	85	39
47	76	34	49	23
7	87	60	59	33
3	10	70	94	82
80	64	70	50	15
34	39	91	49	57
16	54	87	3	30
4	87	85	78	67
31	100	39	94	17
99	31	93	59	100
82	77	27	1	61
73	53	52	10	38
62	49	29	49	27
